# Year Built,Floor Area,Energy Star Score,Site EUI
2.005000000000000000e+03,5.964372600000000239e+04,8.500000000000000000e+01,1.321773628999999914e+02
2.016000000000000000e+03,4.467054949000000306e+03,7.000000000000000000e+01,1.321773628999999914e+02
2.012000000000000000e+03,2.452639199999999983e+04,7.800000000000000000e+01,1.312309855999999968e+02
2.014000000000000000e+03,5.007471700000000055e+03,4.700000000000000000e+01,1.302846082999999737e+02
2.007000000000000000e+03,1.620980834300000060e+04,7.300000000000000000e+01,1.302846082999999737e+02
1.961000000000000000e+03,1.080173890700000084e+04,8.900000000000000000e+01,1.296536901000000057e+02
1.900000000000000000e+03,4.738052999999999884e+03,6.700000000000000000e+01,1.296536901000000057e+02
1.920000000000000000e+03,3.250861776000000191e+03,8.600000000000000000e+01,1.296536901000000057e+02
1.979000000000000000e+03,2.015809293999999863e+04,5.100000000000000000e+01,1.290227718999999809e+02
1.977000000000000000e+03,6.872963940000000002e+04,6.700000000000000000e+01,1.280763946000000146e+02
1.931000000000000000e+03,8.825784999999999854e+03,9.600000000000000000e+01,1.261836399999999969e+02
1.897000000000000000e+03,6.173218544000000293e+03,6.200000000000000000e+01,1.261836399999999969e+02
1.986000000000000000e+03,8.361270000000000437e+03,8.800000000000000000e+01,1.258681808999999987e+02
2.006000000000000000e+03,3.409540099999999802e+04,6.100000000000000000e+01,1.258681808999999987e+02
1.979000000000000000e+03,1.802894198600000163e+04,8.200000000000000000e+01,1.211362943999999970e+02
1.998000000000000000e+03,6.063778809999999794e+03,8.500000000000000000e+01,1.205053762000000006e+02
1.998000000000000000e+03,6.063778809999999794e+03,8.500000000000000000e+01,1.205053762000000006e+02
1.973000000000000000e+03,2.837443425999999818e+04,7.800000000000000000e+01,1.201899171000000024e+02
2.014000000000000000e+03,3.086655723500000022e+04,7.700000000000000000e+01,1.198744580000000042e+02
1.913000000000000000e+03,3.613090572999999858e+04,6.400000000000000000e+01,1.192435397999999935e+02
1.874000000000000000e+03,6.716886899999999514e+03,5.100000000000000000e+01,1.189280807000000095e+02
